mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
00:80:C2:77:7B:E7,15.0,0.0,0.0,0.0,13.3333333333,53.3333333333,20.0,0.25,15
88:C9:D0:EE:8C:E4,15.0,0.0,0.0,6.66666666667,33.3333333333,26.6666666667,33.3333333333,0.295045045045,74
84:38:38:3E:75:12,15.0,0.0,0.0,20.0,20.0,40.0,20.0,0.354166666667,16
64:B3:10:B8:2F:2C,15.0,0.0,0.0,20.0,33.3333333333,20.0,26.6666666667,0.5,43
C4:88:E5:C4:98:5A,15.0,50.0,0.0,0.0,20.0,40.0,40.0,0.25,21
3C:A1:0D:5F:89:61,15.0,0.0,0.0,6.66666666667,26.6666666667,20.0,26.6666666667,0.25,45
10:68:3F:E6:24:AE,15.0,0.0,0.0,20.0,33.3333333333,46.6666666667,0.0,0.5,72
34:4D:F7:95:19:DE,15.0,0.0,0.0,6.66666666667,6.66666666667,26.6666666667,60.0,0.25,15
44:D4:E0:A3:3E:4A,15.0,0.0,0.0,0.0,13.3333333333,40.0,46.6666666667,0.25,28
84:8E:DF:A5:54:FB,15.0,0.0,0.0,0.0,6.66666666667,60.0,33.3333333333,0.25,15
C4:9A:02:57:34:9F,15.0,0.0,0.0,0.0,60.0,20.0,20.0,0.25,33
FC:92:3B:B5:ED:40,15.0,0.0,6.66666666667,20.0,20.0,33.3333333333,20.0,0.25,46
8C:BF:A6:AC:54:F9,14.0,0.0,0.0,0.0,7.14285714286,57.1428571429,35.7142857143,0.25,22
40:7A:80:C6:10:14,14.0,0.0,0.0,0.0,0.0,21.4285714286,64.2857142857,0.25,41
B8:5A:73:E3:B3:0B,14.0,0.0,0.0,7.14285714286,7.14285714286,50.0,35.7142857143,0.361111111111,15
EC:F3:5B:7C:BF:E0,14.0,0.0,0.0,50.0,28.5714285714,14.2857142857,7.14285714286,0.25,25
E4:58:E7:61:7F:3B,14.0,100.0,0.0,21.4285714286,14.2857142857,21.4285714286,42.8571428571,0.25,33
58:A2:B5:96:04:10,14.0,0.0,0.0,14.2857142857,57.1428571429,28.5714285714,0.0,0.25,17
90:FD:61:E2:C3:9C,14.0,0.0,0.0,21.4285714286,21.4285714286,7.14285714286,50.0,0.458333333333,16
40:6F:2A:E7:CF:DD,14.0,0.0,0.0,7.14285714286,78.5714285714,14.2857142857,0.0,0.25,50
